Parks and Recreation Facilities,Facility Type,Phone Number,URL,Location 1
Dolphin Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1299 73rd Avenue
Oakland, CA
(37.75841435504435, -122.18847991273027)"
Dover St Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"5707 Dover St
Oakland, CA
(37.842709100258446, -122.26776463023646)"
Driver [Jasper P.] Plaza,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"5650 Adeline St
Oakland, CA
(37.840858591963595, -122.27451723043384)"
Dunsmuir Estate Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"61 Covington Street
Oakland, CA
(37.73708459137595, -122.13779900356636)"
Durant Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"29th Street &amp; MLK Jr Way
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Eastshore Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"550 El Embarcadero &amp; Lakeshore Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Elmhurst Lyons Field,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1800 98th Avenue
Oakland, CA
(37.74664352108863, -122.165601647708)"
Estuary Channel Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"5 Embarcadero
Oakland, CA
(37.79098860532374, -122.26432675894569)"
Firestorm Memorial Garden,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Tunnel Road/Hiller Drive
Oakland, CA
(37.855601091569376, -122.2278336497169)"
Fitzgerald Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Fitzgerald Street &amp; Peralta Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
FM Smith Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1969 Park Boulevard
Oakland, CA
(37.80037428039416, -122.24878982067813)"
Foothill Meadows Extension,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1600 38th Avenue
Oakland, CA
(37.7764690733486, -122.21856430531881)"
Foothill Meadows Extension,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3705 Foothill Boulevard
Oakland, CA
(37.77979197643333, -122.21763063008204)"
Frank Ogawa Firescape Garden,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"6900 Broadway
Oakland, CA
(37.850484201010566, -122.22239492823022)"
Franklin Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1010 East 15th Street
Oakland, CA
(37.79269463350681, -122.24861559848168)"
Franklin Plaza,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"418 22nd St
Oakland, CA
(37.81104819559434, -122.2674302584897)"
Fruitvale Bridge Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3205 Alameda Avenue
Oakland, CA
(37.76940222142491, -122.22954772595166)"
Garber [John] Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Alvarado Rd &amp; Claremont Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Garfield Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2260 Foothill Boulevard
Oakland, CA
(37.78571932591725, -122.2352867776567)"
Gateway Gardens Park & Pavillion,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Tunnel Rd &amp; Caldecott Ln
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Glen Echo Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Panama Court &amp; Monte Vista Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Golden Gate Park ,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1075 62nd St
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Grove Shafter Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Martin Luther King Jr Way &amp; 36th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Hardy Park & Dog Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/OAK029768,"491 Hardy Street
Oakland, CA
(37.84202012861456, -122.25718721053968)"
Helen McGregor Plaza Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Martin Luther King Jr Way &amp; 5210 West Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Henery J. Kaiser Memorial Park (Remember Them: Champions For Humanity Monument),Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1900 Rashida Muhammad Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Holly Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"9830 Holly Street
Oakland, CA
(37.74462107533759, -122.16907842463516)"
Jefferson Square,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"618 Jefferson Street
Oakland, CA
(37.800331412598446, -122.27804291489684)"
Joaquin Miller Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3590 Sanborn Drive
Oakland, CA
(37.810859987420464, -122.19269090980518)"
Josie de la Cruz Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1637 Fruitvale Avenue
Oakland, CA
(37.78041404360486, -122.22450938852612)"
Kennedy Tract Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"26th Avenue &amp; East 9th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
King Estates,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"8501 Fontaine St
Oakland, CA
(37.76462581458471, -122.15256817383897)"
Knowland Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"9777 Golf Links Rd
Oakland, CA
(37.753335947280924, -122.15032626989203)"
Lafayette Square Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"635 11th Street
Oakland, CA
(37.80392583261953, -122.27693305696152)"
Lakeside Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/OAK029769,"666 Bellevue Avenue
Oakland, CA
(37.80795499033483, -122.25885972773281)"
Lazear Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"850 - 29th Avenue
Oakland, CA
(37.77570663822536, -122.23244965266198)"
Lincoln Square Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"261 11th Street
Oakland, CA
(37.80043463426119, -122.26800787429386)"
Linden Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"998 42nd Steet
Oakland, CA
(37.83276870061304, -122.27576472623106)"
Lowell Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1180 14th Street&nbsp;
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Madison Square Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"810 Jackson Street
Oakland, CA
(37.79791775934754, -122.2676948794654)"
Mandana Plaza Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"600 Mandana Avenue &amp; Lakeshore Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Manzanita Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2701 22nd Ave
Oakland, CA
(37.79419966999802, -122.22765486772965)"
Marj Saunders Park ,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"5750 Ascot Dr
Oakland, CA
(37.821008850028555, -122.19876530869094)"
Marston Campbell Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"17th Street &amp; West Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Maxwell Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"4618 Allendale Avenue
Oakland, CA
(37.78130339209787, -122.20026151871718)"
McClymonds Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2528 Linden Street
Oakland, CA
(37.81764562934065, -122.28076929664121)"
McCrea Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"4460 Shepard Street
Oakland, CA
(37.79220747654878, -122.18277212205689)"
Montclair Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"6300 Moraga Avenue
Oakland, CA
(37.828526809031004, -122.21243443299211)"
Morcom Rose Garden,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"700 Jean Street
Oakland, CA
(37.819302320445075, -122.24605202369963)"
Morgan Plaza Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"21st Avenue &amp; E 26th Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Mosswood Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3612 Webster Street
Oakland, CA
(37.82388635030956, -122.26190991013061)"
Nicol Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Nicol Avenue &amp; Coolidge Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Oak Glen Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3390 Richmond Blvd
Oakland, CA
(37.82030385518474, -122.25837603447687)"
Oak Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3239 Kempton Avenue
Oakland, CA
(37.81905693088788, -122.25804295909973)"
Officer Willie Wilkins,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"9700 C Street
Oakland, CA
(37.743196205039595, -122.17533880100486)"
Ostrander Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"6151 Broadway Terrace
Oakland, CA
(37.84264760593298, -122.23258233556714)"
Park Blvd Plaza Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2100 Park Blvd
Oakland, CA
(37.80063109648487, -122.24766069655746)"
Peralta Hacienda Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2500 34th Avenue
Oakland, CA
(37.78752670054064, -122.21682703049692)"
Peralta Oaks Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Peralta Oaks &amp; 106th Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Peralta Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"94 East 10th Street
Oakland, CA
(37.798308912623376, -122.26441531244623)"
Piedmont Plaza Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"4182 Piedmont Avenue
Oakland, CA
(37.82726743645258, -122.25120255449562)"
Pine Knoll Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Lakeshore Avenue &amp; Hanover Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Pinto Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"5000 Redwood Road
Oakland, CA
(37.79609723947982, -122.17513446121853)"
Poplar Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3131 Union Street
Oakland, CA
(37.823373676628535, -122.2835117589695)"
Raimondi Park ,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1800 Wood St
Oakland, CA
(37.81599576697341, -122.29554293834275)"
Rainbow Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"5800 International Blvd
Oakland, CA
(37.76549331082276, -122.20029749159835)"
Rancho Peralta Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"34 E 10th Street
Oakland, CA
(37.79746719756953, -122.26230891670201)"
Redondo Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Redondo and Clarke
Oakland, CA
(37.83786175452053, -122.26107367433849)"
Redwood Heights Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3883 Aliso Avenue
Oakland, CA
(37.79796608109796, -122.1854229963365)"
Rockridge Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"6090 Rockridge Blvd
Oakland, CA
(37.84517160169325, -122.24405267919116)"
Rockridge-Temescal Greenbelt (FROG Park),Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Along Temescal Creek, Hudson St to Redondo Park
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Saint Andrews Plaza,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"32nd Street &amp; San Pablo Ave
Oakland, CA
(37.80505999961946, -122.27301999967312)"
San Antonio Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1701 E 19th Street
Oakland, CA
(37.79100751139034, -122.23992575719154)"
Sequoia Lodge Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2666 Mountain Blvd
Oakland, CA
(37.81439844277611, -122.20107090854356)"
Sheffield Village Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"247 Marlow Drive
Oakland, CA
(37.73513219911359, -122.13506067159295)"
Shepherd Canyon Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"6000 Shepherd Canyon Rd
Oakland, CA
(37.824715379521706, -122.20238365712544)"
Snow Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/OAK029770,"19th Street &amp; Harrison Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Sobrante Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"470 El Paseo Drive
Oakland, CA
(37.728324331351814, -122.17741873917299)"
South Prescott Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3rd Street/Chester Avenue
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Splash Pad Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Grand Avenue &amp; Lakepark
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Stonehurst Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"10315 E Street
Oakland, CA
(37.73751689383553, -122.17356959719105)"
Tassafaronga Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"85th Avenue &amp; E Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Temescal Creek Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Cavour &amp; Clifton Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Tomas Melero-Smith,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"65th.International Blvd
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Tyrone Carney Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"10501 Acalanes Dr
Oakland, CA
(37.732515172008334, -122.17824611543995)"
Union Plaza,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"3399 Peralta Street
Oakland, CA
(37.82594913854309, -122.28233539152443)"
Union Point Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2311 Embarcadero
Oakland, CA
(37.77899051876286, -122.24260248347878)"
Vantage Point Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1198 13th Avenue
Oakland, CA
(37.78914136717913, -122.24808783645528)"
Verdese Carter Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"9600 Sunnyside Street
Oakland, CA
(37.748541090570484, -122.16335334263471)"
Wade Johnson Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1250 Kirkham Street
Oakland, CA
(37.80943614340091, -122.29053747164423)"
"William ""Bill"" Patterson Park",Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"9175 Edes Avenue
Oakland, CA
(37.73802473854441, -122.18937080159046)"
William Wood Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2920 McKillop Rd
Oakland, CA
(37.795194252421716, -122.22075897864956)"
Willow Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"14th Street &amp; Willow Street
Oakland, CA
(37.80505999961946, -122.27301999967312)"
Willow Mini Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"1368 Willow St
Oakland, CA
(37.812437920752245, -122.29665984703786)"
Wood Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"2920 McKillop Road
Oakland, CA
(37.795194252421716, -122.22075897864956)"
Wood Street Pocket Park,Park,(510) 238-PARK,http://www2.oaklandnet.com/Government/o/opr/s/Parks/index.htm,"Wood St/14th Street
Oakland, CA
(37.79811632607474, -122.25837284075023)"
 ,,,,"Oakland, CA
(37.80505999961946, -122.27301999967312)"
